test-0.0001-a,test-0.0001-a,test-0.0001-a
Test time,Strain,Stress
s,%,MPa
156.68,0.076272345,284.9112084
157.18,0.0773229,286.1581853
157.68,0.077940603,287.447893
158.18,0.079087831,288.6733093
158.68,0.077592045,289.875915
159.18,0.080318512,291.0916706
159.68,0.081479391,292.2616749
160.18,0.080927147,293.5228954
160.68,0.081939933,294.772971
161.18,0.082063201,296.0439043
161.68,0.084476172,297.2873919
162.18,0.08395387,298.5398892
162.68,0.084209713,299.7820488
163.18,0.085319001,301.0793079
163.68,0.084440843,302.3252953
164.18,0.086418952,303.5805007
164.68,0.087985478,304.8017507
165.18,0.086244673,306.0480245
165.68,0.089505271,307.3846813
166.18,0.090187792,308.7667769
166.68,0.090343994,310.0483602
167.18,0.09208593,311.2854682
167.68,0.092176986,312.5358563
168.18,0.093335946,313.7752558
168.68,0.092621392,315.075926
169.18,0.095757561,316.3630818
169.68,0.096867184,317.6825005
170.18,0.097352951,319.003846
170.68,0.095231599,320.3183172
171.18,0.097140836,321.5912815
171.68,0.094006475,322.9144759
172.18,0.096281827,324.2058501
172.68,0.097133181,325.4874594
173.18,0.097456171,326.7434721
173.68,0.097576716,328.0211755
174.18,0.095925256,329.4004328
174.68,0.09828427,330.7597179
175.18,0.100543286,332.0717674
175.68,0.099023798,333.3706149
176.18,0.099390627,334.6544116
176.68,0.098926061,335.9449264
176.83,0.10292458,336.3418457
177.33,0.099859128,337.6975373
177.83,0.103130565,339.0256792
178.33,0.104112248,340.3781679
178.83,0.103192921,341.7334429
179.33,0.102824835,343.0731203
179.83,0.104671471,344.4212865
180.33,0.106282907,345.7657811
180.83,0.105517275,347.0942615
181.33,0.106313728,348.4342253
181.83,0.106779492,349.7446343
182.33,0.10798976,351.144619
182.83,0.109135069,352.6040778
183.33,0.109780951,354.0545269
183.83,0.110252711,355.4227956
184.33,0.110959528,356.7762999
184.83,0.112487883,358.1255597
185.33,0.11229828,359.5297889
185.83,0.114242622,360.95649
186.33,0.113819486,362.3742336
186.83,0.114836445,363.7913783
187.33,0.116559783,365.2185482
187.83,0.117539963,366.6185069
188.33,0.117677939,368.0195071
188.83,0.118804619,369.4464947
189.33,0.11904847,370.8424954
189.83,0.120685766,372.232507
190.33,0.121120872,373.5563003
190.83,0.121313348,374.9905269
191.33,0.122235204,376.4793842
191.83,0.12322414,377.9752722
192.33,0.124154045,379.3467957
192.83,0.126201124,380.7354272
193.33,0.126185963,382.0834893
193.83,0.126906573,383.5249027
194.33,0.12808172,384.9327514
194.83,0.12880727,386.3622648
195.33,0.130750861,387.799564
195.83,0.130849312,389.2529817
196.33,0.130492377,390.6761415
196.83,0.13200113,392.1106545
197.33,0.132770705,393.56001
197.83,0.133236194,394.9743164
198.33,0.134553193,396.3656299
198.83,0.134385824,397.7466058
199.33,0.136032263,399.1677085
199.83,0.136554289,400.6525818
200.33,0.136530038,402.1262581
200.83,0.137308316,403.5655884
201.33,0.13762804,404.9998411
201.83,0.138876613,406.419121
202.33,0.140097661,407.8896986
202.83,0.139822007,409.3595732
203.33,0.1395608,410.8221307
203.83,0.141200112,412.3246066
204.33,0.142603957,413.8003661
204.83,0.142307458,415.2733133
205.33,0.143849048,416.7749821
205.83,0.144311308,418.237149
206.33,0.144937603,419.6968421
206.83,0.145461236,421.1253661
207.33,0.146959604,422.5393079
207.83,0.147215915,424.0523038
208.33,0.148431726,425.5984479
208.83,0.149148601,427.1286038
209.33,0.149434804,428.5944422
209.83,0.150005468,430.0417406
210.33,0.151505175,431.4886744
210.83,0.152330544,432.9744851
211.33,0.153977741,434.4476407
211.83,0.155166086,435.9341545
212.33,0.156732642,437.4541289
212.83,0.158098234,438.9599379
213.33,0.158457698,440.4445508
213.83,0.15856951,441.9235913
214.33,0.159604978,443.4508047
214.83,0.161649803,444.9340115
215.33,0.161345851,446.3879499
215.83,0.163551586,447.8444402
216.33,0.164737565,449.3808195
216.83,0.165382801,450.9049082
217.33,0.166584313,452.4456101
217.83,0.168135038,453.9289731
218.33,0.169393074,455.3907754
218.83,0.169789526,456.8750758
219.33,0.170914682,458.4114551
219.83,0.170939915,459.9101293
220.33,0.172081557,461.4511957
220.83,0.173179782,462.9704411
221.33,0.173740597,464.496665
221.83,0.174852734,466.0086714
222.33,0.176072681,467.5123973
222.83,0.177311017,469.0287262
223.33,0.178267124,470.5091207
223.83,0.1780313,471.9913901
224.33,0.178764437,473.4856896
224.83,0.179502842,475.0284226
225.33,0.181409743,476.6021945
225.83,0.182280789,478.1514894
226.33,0.182382781,479.6193329
226.83,0.183674635,481.1122784
227.33,0.184187705,482.593402
227.83,0.185219513,484.1573311
228.33,0.18717288,485.6903773
228.83,0.186177375,487.2605038
229.33,0.188219031,488.8280263
229.83,0.189613949,490.3993505
230.33,0.190064127,491.9260952
230.83,0.190812649,493.4811709
231.33,0.191356294,495.0482767
231.83,0.193332321,496.5739278
232.33,0.192972484,498.08583
232.83,0.194940149,499.5801817
233.33,0.195318956,501.148954
233.83,0.195815659,502.7899598
234.33,0.197696553,504.3314429
234.83,0.1990578,505.8120978
235.33,0.201424655,507.3285309
235.83,0.202988325,508.8693369
236.33,0.205782727,510.4452441
236.83,0.20497121,511.9818317
237.33,0.20526509,513.5582076
237.83,0.207578472,515.1403122
238.33,0.208681012,516.7220522
238.83,0.209842799,518.2335378
239.33,0.210754061,519.7846034
239.83,0.212392644,521.3362939
240.33,0.212088453,522.87059
240.83,0.213795031,524.378326
241.33,0.215364012,525.8990295
241.83,0.216162347,527.5000908
242.33,0.217708385,529.1190152
242.83,0.218920818,530.688725
243.33,0.221675183,532.1778687
243.83,0.22101068,533.6789906
244.33,0.222217876,535.1733423
244.83,0.223977569,536.7426355
245.33,0.225497362,538.2687552
245.83,0.226023897,539.8446624
246.33,0.22761954,541.3976028
246.83,0.229273492,542.9612715
247.33,0.231499671,544.5178574
247.83,0.231083549,546.1015764
248.33,0.233245096,547.6009797
248.83,0.233025653,549.1169441
249.33,0.233551355,550.5894747
249.83,0.23574797,552.1102303
250.33,0.236818581,553.7183223
250.83,0.236961935,555.3129258
251.33,0.238811941,556.8867498
251.83,0.239646788,558.3770914
252.33,0.241518844,559.886598
252.83,0.242863562,561.4116762
253.33,0.243631544,562.974147
253.83,0.244774019,564.4814663
254.33,0.245436989,566.0422186
254.83,0.247982297,567.6184382
255.33,0.249470606,569.1826277
255.83,0.249118031,570.7383803
256.33,0.250504051,572.3042884
256.83,0.251501088,573.8465526
257.33,0.253261273,575.3965245
257.83,0.255824449,576.8558271
258.33,0.256514365,578.4041845
